id,firstName,lastName,email,moneySpent,productsPurchased,updatedAt,createdAt
1,Paxon,Tooze,ptooze0@alexa.com,$1871.74,79,8/17/2023,2/7/2024
2,Gabi,Barbe,gbarbe1@artisteer.com,$1378.01,21,10/14/2023,7/13/2023
3,Pietra,Tribe,ptribe2@seesaa.net,$1491.44,46,1/4/2024,9/28/2023
4,Henrietta,Potzold,hpotzold3@dailymail.co.uk,$1805.62,81,9/1/2023,4/10/2023
5,Greer,Berryann,gberryann4@harvard.edu,$953.01,31,9/25/2023,3/10/2024
6,Dion,Revan,drevan5@unblog.fr,$801.93,27,3/12/2024,4/25/2023
7,Andie,Lequeux,alequeux6@eventbrite.com,$758.97,38,2/27/2024,1/3/2024
8,Venita,Tobias,vtobias7@mediafire.com,$1515.48,96,3/26/2023,4/1/2023
9,Brenna,Bakes,bbakes8@umich.edu,$1465.45,96,8/20/2023,12/10/2023
10,Kiele,Maxstead,kmaxstead9@homestead.com,$1523.83,92,1/31/2024,12/2/2023
11,Bank,Sterricker,bsterrickera@icq.com,$615.42,98,3/5/2024,11/7/2023
12,Jenn,Ellyatt,jellyattb@4shared.com,$801.39,46,10/7/2023,1/6/2024
13,Sarge,Whaites,swhaitesc@hibu.com,$912.49,17,6/26/2023,12/9/2023
14,Corbin,Calven,ccalvend@webs.com,$1144.56,45,9/12/2023,11/24/2023
15,Dreddy,Hesbrook,dhesbrooke@vkontakte.ru,$1459.01,50,12/18/2023,4/9/2023
16,Vinni,Quinnette,vquinnettef@free.fr,$1499.01,92,12/9/2023,10/20/2023
17,Egor,Pohls,epohlsg@narod.ru,$339.62,65,2/10/2024,4/9/2023
18,Evita,Hurdle,ehurdleh@google.co.jp,$1023.14,93,8/25/2023,2/22/2024
19,Kala,Ravel,kraveli@vistaprint.com,$1237.27,40,10/16/2023,4/28/2023
20,Stafani,Alenov,salenovj@earthlink.net,$1471.29,1,3/29/2023,3/13/2024
21,Garland,Leadley,gleadleyk@naver.com,$1434.86,44,10/4/2023,10/15/2023
22,Tiebout,Douch,tdouchl@cnet.com,$605.97,31,3/5/2024,4/18/2023
23,Hamnet,Peddie,hpeddiem@sphinn.com,$1749.31,3,4/5/2023,3/9/2024
24,Ashlie,Sloegrave,asloegraven@gizmodo.com,$1411.35,5,7/28/2023,12/4/2023
25,Grange,Cramp,gcrampo@hostgator.com,$465.55,26,5/22/2023,10/21/2023
26,Ortensia,Pierucci,opieruccip@symantec.com,$687.24,8,6/13/2023,2/26/2024
27,Renell,Lyndon,rlyndonq@engadget.com,$609.07,93,12/9/2023,3/24/2024
28,Nissa,Winscom,nwinscomr@usa.gov,$298.25,61,6/15/2023,1/28/2024
29,Barnaby,Struijs,bstruijss@sitemeter.com,$538.40,35,11/11/2023,7/16/2023
30,Mariska,Cockerill,mcockerillt@gmpg.org,$1128.36,92,11/26/2023,5/15/2023
31,Dukey,Chestle,dchestleu@prweb.com,$1316.86,97,3/15/2024,11/1/2023
32,Gerardo,Danet,gdanetv@ihg.com,$931.23,65,9/29/2023,6/29/2023
33,Mano,Kenner,mkennerw@alibaba.com,$1781.46,37,10/13/2023,10/20/2023
34,Danell,Butte,dbuttex@opera.com,$1164.20,51,5/21/2023,3/17/2024
35,Lulita,Staterfield,lstaterfieldy@simplemachines.org,$1189.13,19,5/4/2023,7/20/2023
36,Rosalinda,Speenden,rspeendenz@hud.gov,$1147.20,80,8/18/2023,8/4/2023
37,Aubrey,Hardy,ahardy10@indiegogo.com,$575.33,36,1/22/2024,11/22/2023
38,Wendye,Lamy,wlamy11@furl.net,$1593.35,64,8/6/2023,6/22/2023
39,Hammad,Frankes,hfrankes12@pbs.org,$1345.51,100,1/9/2024,8/1/2023
40,Rhianon,Klebes,rklebes13@weather.com,$1514.72,97,11/15/2023,4/8/2023
41,Hollyanne,Nucator,hnucator14@google.fr,$549.46,97,7/16/2023,12/8/2023
42,Jay,de Courcey,jdecourcey15@tmall.com,$1720.25,38,5/6/2023,6/8/2023
43,Reube,Wilprecht,rwilprecht16@dell.com,$1340.73,75,8/14/2023,1/26/2024
44,Cyrill,Warrell,cwarrell17@wiley.com,$1478.59,98,2/2/2024,5/29/2023
45,Fenelia,Ogdahl,fogdahl18@abc.net.au,$150.85,93,4/20/2023,3/28/2023
46,Belia,Dionisii,bdionisii19@netvibes.com,$484.49,11,4/9/2023,6/2/2023
47,Margret,Handmore,mhandmore1a@google.ru,$1079.81,47,8/23/2023,3/30/2023
48,Kari,Pittam,kpittam1b@51.la,$872.20,34,5/25/2023,2/21/2024
49,Johny,Ryce,jryce1c@goodreads.com,$809.05,18,11/13/2023,11/1/2023
50,Wang,Campagne,wcampagne1d@buzzfeed.com,$525.43,68,8/30/2023,3/27/2023
51,Alissa,Gawke,agawke1e@github.io,$176.52,59,7/4/2023,10/22/2023
52,Dugald,Dimnage,ddimnage1f@shutterfly.com,$1536.55,64,7/12/2023,6/19/2023
53,Rabbi,Passe,rpasse1g@cyberchimps.com,$1751.76,72,5/10/2023,6/21/2023
54,Louise,Kington,lkington1h@sfgate.com,$446.77,74,2/15/2024,8/24/2023
55,Irena,Markushkin,imarkushkin1i@illinois.edu,$1031.51,83,7/28/2023,4/17/2023
56,Sinclair,Gibling,sgibling1j@stanford.edu,$1816.93,56,6/20/2023,7/7/2023
57,Alys,Pottie,apottie1k@cafepress.com,$1909.25,25,12/14/2023,11/24/2023
58,Roch,Alcock,ralcock1l@feedburner.com,$1129.19,51,5/17/2023,7/19/2023
59,Lindy,Cloute,lcloute1m@ibm.com,$141.46,96,4/9/2023,4/27/2023
60,Kathrine,Copnell,kcopnell1n@eepurl.com,$1387.55,76,6/11/2023,9/6/2023
61,Alana,Ferryman,aferryman1o@biglobe.ne.jp,$500.06,49,8/27/2023,11/26/2023
62,Jamaal,Armistead,jarmistead1p@examiner.com,$840.80,84,2/24/2024,3/25/2023
63,Lynnell,Davidai,ldavidai1q@pbs.org,$139.14,62,3/5/2024,2/5/2024
64,Tait,Rider,trider1r@vkontakte.ru,$1633.62,48,8/31/2023,8/22/2023
65,Jeremie,Huggon,jhuggon1s@businessweek.com,$1599.21,46,8/22/2023,9/30/2023
66,Editha,Bedinn,ebedinn1t@dyndns.org,$1570.66,68,3/28/2023,4/10/2023
67,Maressa,Rooney,mrooney1u@sciencedaily.com,$1448.35,68,8/5/2023,1/12/2024
68,Clarinda,Wisden,cwisden1v@drupal.org,$1342.55,77,5/7/2023,12/8/2023
69,Fabiano,Ducker,fducker1w@squarespace.com,$1037.66,93,11/12/2023,1/1/2024
70,Cash,Constanza,cconstanza1x@jigsy.com,$924.21,58,5/26/2023,4/2/2023
71,Pablo,Corben,pcorben1y@cpanel.net,$1053.19,15,5/30/2023,3/30/2023
72,Ardyth,Stryde,astryde1z@edublogs.org,$1399.49,46,6/26/2023,3/10/2024
73,Abbe,Grishanin,agrishanin20@ucoz.com,$325.68,62,12/11/2023,7/5/2023
74,Alyss,O' Hogan,aohogan21@51.la,$1341.85,7,7/20/2023,7/6/2023
75,Benita,Hanks,bhanks22@hud.gov,$901.27,1,1/2/2024,4/20/2023
76,Mariejeanne,Ketteman,mketteman23@businessinsider.com,$1921.86,80,9/17/2023,11/2/2023
77,Harley,Glaister,hglaister24@wired.com,$1477.20,32,5/1/2023,9/4/2023
78,Gunner,Skeemor,gskeemor25@github.io,$944.70,39,1/19/2024,3/15/2024
79,Edythe,Itzcak,eitzcak26@feedburner.com,$1533.50,36,8/11/2023,2/29/2024
80,Alayne,Cardello,acardello27@thetimes.co.uk,$318.09,86,12/22/2023,1/30/2024
81,Maurita,GiacobbiniJacob,mgiacobbinijacob28@furl.net,$677.31,39,7/5/2023,7/18/2023
82,Forest,Smail,fsmail29@dyndns.org,$556.60,21,4/18/2023,7/18/2023
83,Christine,Balaizot,cbalaizot2a@reddit.com,$1904.49,72,7/10/2023,11/7/2023
